FEATURE,STATISTIC,P_VALUE,IS_SIGNIFICANT
ALCFLG,0.3881890782703736,0.533252838207288,0
AMPHFLG,177.7899994898136,1.4722082008956553e-40,1
BENZFLG,2254.029278955585,0.0,1
COKEFLG,218.8764412549824,1.5902419053417921e-49,1
HALLFLG,134.3345808050288,4.6162327524237835e-31,1
IDU,1244.9671599160454,1.0299807788892111e-272,1
INHFLG,26.832819682684196,2.2183771962373147e-07,1
MARFLG,11135.42432620703,0.0,1
METHFLG,0.4155901785140788,0.5191457017914642,0
METHUSE,1179.0191066228986,2.2134312284591315e-258,1
MTHAMFLG,910.0245928590437,6.495431837960752e-200,1
NOPRIOR,489.29283516157255,2.0308757523961444e-108,1
OPSYNFLG,37.63394446154227,8.534627719072399e-10,1
OTCFLG,38.57150672577371,5.278390844032515e-10,1
OTHERFLG,812.7354487140234,9.186972592428487e-179,1
PCPFLG,38.434898602452115,5.661094766620527e-10,1
PREG,17.72731786337868,2.5493908262155598e-05,1
PSYPROB,163.79902915926147,1.6736516107806941e-37,1
SEDHPFLG,2.529692479937212,0.11172198773554251,0
STIMFLG,82.27127950172155,1.1863349237674739e-19,1
TRNQFLG,32.77133753246885,1.036621317220738e-08,1
VET,1.0378560601019384,0.3083206203323639,0
ALCDRUG,3019.7890899563286,0.0,1
ARRESTS,63.082050507518744,1.9827272063258672e-15,1
ARRESTS_D,611.3849620798562,5.591361174255964e-135,1
BARBFLG,76.80377078216881,1.8881673965857597e-18,1
CBSA2010,7949888.441787496,0.0,1
DIVISION,257.00492302258687,7.715884111453586e-58,1
DSMCRIT,9907.936355903388,0.0,1
EMPLOY,1752.0129774460847,0.0,1
EMPLOY_D,8622.654456546261,0.0,1
ETHNIC,204.4560518248254,2.2257365025129896e-46,1
GENDER,89.0883787559059,3.775624444837507e-21,1
HERFLG,595.7281813126465,1.422194777563398e-131,1
HLTHINS,4744.92605883708,0.0,1
LIVARAG,968.8003433845579,1.0865611950173594e-212,1
LIVARAG_D,1984.2368112954246,0.0,1
MARSTAT,23.21088544927973,1.45173258535543e-06,1
PRIMINC,5845.296734251946,0.0,1
PRIMPAY,1429.642313827612,0.0,1
PSOURCE,78304.7156081911,0.0,1
RACE,192.36039042501395,9.707895464888639e-44,1
REASON,10485.059598969008,0.0,1
REGION,86.24304800557017,1.5912581247852736e-20,1
ROUTE1,24.65638203127081,6.851747423575371e-07,1
ROUTE2,540.9501508243825,1.1714655862209663e-119,1
STFIPS,392.00101039421435,3.035691942949596e-87,1
SUB1,668.7393162723914,1.878309590680598e-147,1
SUB1_D,34.308296343770024,4.7037234115993385e-09,1
SUB2,48.60698620755249,3.127531224315419e-12,1
SUB2_D,786.0294068040694,5.882377606024176e-173,1
SUB3,19.01226616708063,1.2988084057606956e-05,1
SUB3_D,135.01107525156849,3.283323220917857e-31,1
