COLUMN,SAMPLE_0,SAMPLE_1,SAMPLE_2,SCHEMA,LEVELS,PRIMARY_KEY,NULL_COUNT,NULL_PCT,COUNT,MEAN,STD,MIN,25%,50%,75%,MAX
DISYR,2019.0,2019.0,2019.0,int64,1,False,0,0.0,1722503,2019.0,0.0,2019.0,2019.0,2019.0,2019.0,2019.0
CASEID,20190497544.0,20190840040.0,20191383925.0,int64,1722503,True,0,0.0,1722503,20190874691.0228,506565.3825,20190000001.0,20190436136.5,20190873766.0,20191309641.5,20191760704.0
STFIPS,36.0,34.0,6.0,int64,49,False,0,0.0,1722503,25.5871,14.2722,1.0,12.0,27.0,36.0,72.0
CBSA2010,,,40140.0,float64,279,False,704011,0.40871394708746517,1018492,30744.1716,10891.5567,10180.0,19820.0,35100.0,39580.0,49700.0
EDUC,4.0,3.0,2.0,float64,6,False,174935,0.10155860396179281,1547568,2.9961,0.939,1.0,2.0,3.0,4.0,5.0
MARSTAT,1.0,1.0,,float64,5,False,360937,0.20954216044906743,1361566,1.7102,1.1166,1.0,1.0,1.0,2.0,4.0
SERVICES,5.0,6.0,5.0,int64,8,False,0,0.0,1722503,5.5408,1.9389,1.0,4.0,7.0,7.0,8.0
LOS,34.0,35.0,34.0,int64,37,False,0,0.0,1722503,20.1852,14.3381,1.0,4.0,26.0,34.0,37.0
PSOURCE,1.0,7.0,1.0,float64,8,False,120477,0.06994298413413504,1602026,3.3468,2.6206,1.0,1.0,2.0,7.0,7.0
NOPRIOR,1.0,1.0,0.0,float64,3,False,136613,0.07931074720914855,1585890,0.5932,0.4912,0.0,0.0,1.0,1.0,1.0
ARRESTS,1.0,0.0,0.0,float64,4,False,182116,0.10572753719441998,1540387,0.0913,0.3283,0.0,0.0,0.0,0.0,2.0
EMPLOY,3.0,4.0,4.0,float64,5,False,152365,0.08845557888723561,1570138,2.9178,1.0598,1.0,3.0,3.0,4.0,4.0
METHUSE,1.0,2.0,2.0,float64,3,False,178805,0.10380533444644219,1543698,1.8599,0.3471,1.0,2.0,2.0,2.0,2.0
PSYPROB,1.0,1.0,2.0,float64,3,False,225375,0.13084157182890246,1497128,1.5499,0.4975,1.0,1.0,2.0,2.0,2.0
PREG,,2.0,,float64,3,False,1136767,0.6599506648174198,585736,1.9688,0.1738,1.0,2.0,2.0,2.0,2.0
GENDER,1.0,2.0,1.0,float64,3,False,756,0.0004388961876989474,1721747,1.3579,0.4794,1.0,1.0,1.0,2.0,2.0
VET,2.0,2.0,2.0,float64,3,False,174003,0.1010175308838359,1548500,1.9725,0.1637,1.0,2.0,2.0,2.0,2.0
LIVARAG,3.0,2.0,3.0,float64,4,False,174307,0.101194018239736,1548196,2.4856,0.7669,1.0,2.0,3.0,3.0,3.0
DAYWAIT,,1.0,0.0,float64,6,False,920756,0.5345453679906508,801747,0.4864,0.8839,0.0,0.0,0.0,1.0,4.0
SERVICES_D,5.0,6.0,5.0,int64,8,False,0,0.0,1722503,5.558,1.9291,1.0,4.0,7.0,7.0,8.0
REASON,1.0,1.0,1.0,int64,7,False,0,0.0,1722503,2.3186,1.5534,1.0,1.0,2.0,4.0,7.0
EMPLOY_D,4.0,2.0,3.0,float64,5,False,322858,0.1874353774710407,1399645,2.8107,1.0853,1.0,2.0,3.0,4.0,4.0
LIVARAG_D,3.0,3.0,3.0,float64,4,False,354754,0.2059526166282439,1367749,2.5295,0.7106,1.0,2.0,3.0,3.0,3.0
ARRESTS_D,0.0,0.0,0.0,float64,4,False,340163,0.19748180409555166,1382340,0.0697,0.2995,0.0,0.0,0.0,0.0,2.0
DSMCRIT,5.0,5.0,,float64,20,False,410311,0.23820626146950108,1312192,7.0924,4.5194,1.0,4.0,5.0,8.0,19.0
AGE,5.0,6.0,6.0,int64,12,False,0,0.0,1722503,6.995,2.4017,1.0,5.0,7.0,9.0,12.0
RACE,5.0,5.0,5.0,float64,10,False,58924,0.03420835841795341,1663579,4.9633,1.0116,1.0,5.0,5.0,5.0,9.0
ETHNIC,4.0,4.0,2.0,float64,6,False,60872,0.03533927081694488,1661631,3.812,0.705,1.0,4.0,4.0,4.0,5.0
PRIMINC,5.0,5.0,,float64,6,False,680082,0.39482195386597296,1042421,3.2518,1.7055,1.0,1.0,4.0,5.0,5.0
SUB1,7.0,5.0,2.0,float64,20,False,99426,0.057721815288565535,1623077,4.7972,3.1401,1.0,2.0,4.0,5.0,19.0
SUB2,4.0,3.0,4.0,float64,20,False,62316,0.036177585757470376,1660187,3.5182,3.7357,1.0,1.0,2.0,4.0,19.0
SUB3,13.0,1.0,,float64,20,False,185870,0.10790692381958115,1536633,2.229,3.2251,1.0,1.0,1.0,1.0,19.0
SUB1_D,7.0,3.0,2.0,float64,20,False,217220,0.12610718239677957,1505283,4.7172,3.2784,1.0,2.0,4.0,5.0,19.0
SUB2_D,4.0,5.0,4.0,float64,20,False,123173,0.07150814831672282,1599330,3.2549,3.6341,1.0,1.0,1.0,4.0,19.0
SUB3_D,13.0,1.0,1.0,float64,20,False,82543,0.04792038098046854,1639960,2.0793,3.084,1.0,1.0,1.0,1.0,19.0
ROUTE1,4.0,4.0,1.0,float64,6,False,142828,0.08291886864638262,1579675,2.1756,1.1973,1.0,1.0,2.0,3.0,5.0
ROUTE2,1.0,4.0,2.0,float64,6,False,817221,0.4744380706448697,905282,2.1225,0.9958,1.0,1.0,2.0,3.0,5.0
FREQ1,3.0,1.0,3.0,float64,4,False,196872,0.11429414056172907,1525631,2.192,0.8256,1.0,1.0,2.0,3.0,3.0
FREQ2,3.0,1.0,3.0,float64,4,False,818003,0.4748920611459022,904500,2.0017,0.8097,1.0,1.0,2.0,3.0,3.0
FREQ1_D,1.0,1.0,1.0,float64,4,False,537124,0.3118276136529225,1185379,1.7884,0.845,1.0,1.0,2.0,3.0,3.0
FREQ2_D,2.0,3.0,,float64,4,False,1183470,0.6870641154180863,539033,2.1037,0.305,1.0,2.0,2.0,2.0,3.0
FRSTUSE1,5.0,4.0,3.0,float64,8,False,150579,0.08741871567132249,1571924,3.8836,1.7504,1.0,3.0,4.0,5.0,7.0
FRSTUSE2,5.0,3.0,2.0,float64,8,False,844104,0.49004501008125967,878399,3.8147,1.7523,1.0,2.0,3.0,5.0,7.0
HLTHINS,,4.0,,float64,5,False,868565,0.504245856175577,853938,2.643,1.0087,1.0,2.0,2.0,4.0,4.0
PRIMPAY,,5.0,,float64,8,False,989974,0.574729913387669,732529,4.135,1.3346,1.0,4.0,4.0,5.0,7.0
FREQ_ATND_SELF_HELP,1.0,4.0,1.0,float64,6,False,327054,0.18987136742287242,1395449,1.6217,1.1944,1.0,1.0,1.0,2.0,5.0
FREQ_ATND_SELF_HELP_D,5.0,4.0,4.0,float64,6,False,376995,0.21886464058408026,1345508,1.9354,1.4023,1.0,1.0,1.0,3.0,5.0
ALCFLG,0.0,0.0,1.0,int64,2,False,0,0.0,1722503,0.4252,0.4944,0.0,0.0,0.0,1.0,1.0
COKEFLG,0.0,1.0,0.0,int64,2,False,0,0.0,1722503,0.1995,0.3997,0.0,0.0,0.0,0.0,1.0
MARFLG,1.0,0.0,1.0,int64,2,False,0,0.0,1722503,0.2993,0.458,0.0,0.0,0.0,1.0,1.0
HERFLG,0.0,1.0,0.0,int64,2,False,0,0.0,1722503,0.2746,0.4463,0.0,0.0,0.0,1.0,1.0
METHFLG,0.0,0.0,0.0,int64,2,False,0,0.0,1722503,0.0046,0.0679,0.0,0.0,0.0,0.0,1.0
OPSYNFLG,1.0,0.0,0.0,int64,2,False,0,0.0,1722503,0.1249,0.3306,0.0,0.0,0.0,0.0,1.0
PCPFLG,0.0,0.0,0.0,int64,2,False,0,0.0,1722503,0.005,0.0707,0.0,0.0,0.0,0.0,1.0
HALLFLG,0.0,0.0,0.0,int64,2,False,0,0.0,1722503,0.0051,0.0714,0.0,0.0,0.0,0.0,1.0
MTHAMFLG,0.0,0.0,0.0,int64,2,False,0,0.0,1722503,0.1986,0.399,0.0,0.0,0.0,0.0,1.0
AMPHFLG,0.0,0.0,0.0,int64,2,False,0,0.0,1722503,0.0156,0.1241,0.0,0.0,0.0,0.0,1.0
STIMFLG,0.0,0.0,0.0,int64,2,False,0,0.0,1722503,0.0061,0.0777,0.0,0.0,0.0,0.0,1.0
BENZFLG,1.0,0.0,0.0,int64,2,False,0,0.0,1722503,0.0564,0.2307,0.0,0.0,0.0,0.0,1.0
TRNQFLG,0.0,0.0,0.0,int64,2,False,0,0.0,1722503,0.0003,0.0177,0.0,0.0,0.0,0.0,1.0
BARBFLG,0.0,0.0,0.0,int64,2,False,0,0.0,1722503,0.0011,0.0326,0.0,0.0,0.0,0.0,1.0
SEDHPFLG,0.0,0.0,0.0,int64,2,False,0,0.0,1722503,0.0046,0.0677,0.0,0.0,0.0,0.0,1.0
INHFLG,0.0,0.0,0.0,int64,2,False,0,0.0,1722503,0.0011,0.0329,0.0,0.0,0.0,0.0,1.0
OTCFLG,0.0,0.0,0.0,int64,2,False,0,0.0,1722503,0.0012,0.0352,0.0,0.0,0.0,0.0,1.0
OTHERFLG,0.0,0.0,0.0,int64,2,False,0,0.0,1722503,0.0343,0.1821,0.0,0.0,0.0,0.0,1.0
DIVISION,2.0,2.0,9.0,int64,10,False,0,0.0,1722503,4.5969,2.5607,0.0,2.0,5.0,7.0,9.0
REGION,1.0,1.0,4.0,int64,5,False,0,0.0,1722503,2.4204,1.1449,0.0,1.0,3.0,3.0,4.0
IDU,1.0,1.0,0.0,float64,3,False,131797,0.07651481593936266,1590706,0.2452,0.4302,0.0,0.0,0.0,0.0,1.0
ALCDRUG,2.0,2.0,3.0,int64,4,False,0,0.0,1722503,1.9456,0.8535,0.0,2.0,2.0,3.0,3.0
